original_text,true_label,predicted_label,is_correct,error_type
"U.S. military releases, withdraws old Islamist video from Yemen raid WASHINGTON (Reuters) - In an awkward reversal, the U.S. military promptly withdrew an old video by Islamist militants it had released on Friday as evidence that a fatal raid in Yemen by American special forces this week was a counter terrorism success.  An expert in radical Islamist media said the footage by unknown militants appeared to be part of videos first released by jihadists online some 10 years ago, undermining the Pentagon’s explanation about its value.  A U.S. Central Command spokesman confirmed that the video was removed from the website because the contents were old.    “We didn’t want it to appear that we were trying to pass off an old video as a new video,” spokesman Colonel John Thomas said. It is the latest controversy surrounding the raid on a branch of al Qaeda in Yemen, the first such operation authorized by President Donald Trump as commander in chief. The military said the video was found on Sunday in the operation in al-Bayda province in which a U.S. Navy SEAL, militants and civilians were killed.      A U.S. Central Command spokesman had said on Friday the clip of a ski-masked man encouraging people to build bombs, was “one example of the volumes of sensitive al-Qa’eda terror-planning information recovered during the operation.”  The Department of Defense posted the video on its web site on Friday but pulled it off within several hours when questions began to arise about its age.     The footage appeared to be similar to that in other videos that surfaced online in 2007.  “The video clip that was posted and abruptly taken down was one of 25 videos that appeared (published) in 2007,” said Adam Raisman, a senior analyst at SITE group which monitors extremists online. He added that the only difference was that the Pentagon video had English subtitles added.        Pentagon spokesman Captain Jeff Davis said the video was still of worth, even if it may have been created earlier.  “It does not matter when the video was made, that they had it is still illustrative of who they are and what their intentions are,” Davis said.      U.S. Navy SEAL William “Ryan” Owens was killed in the raid, which the Pentagon said also killed 14 militants. Medics at the scene said about 30 people, including 10 women and children, also died. U.S. military officials told Reuters this week that the operation went ahead without sufficient intelligence, ground support or adequate backup preparations.  As a result, three officials said, the attacking SEAL team found itself dropping onto a reinforced al Qaeda base defended by landmines, snipers, and a larger than expected contingent of heavily armed Islamist extremists.         But Central Command said earlier this week that it only asks for operations it believes have a good chance of success based on its planning. Pentagon spokesman Davis has said the element of surprise had not been lost in the raid.     ",1,0,False,False Positive (Legit predicted as Fake)
"Morocco's 'mule' women scratch a living on Spanish enclave border MELILLA, Spain (Reuters) - In a winding early-morning queue, Jemaa Laalaoua hunches over with 50 kg (110 lb) of kitchenware on her back, waiting to cross back into Morocco from the Spanish enclave of Melilla. The 41-year-old mother of eight is one of thousands of Moroccans who eke out a living by walking loads of merchandise from Melilla into the northern Moroccan province of Nador. Goods including metal kettles that Laalaoua was carrying are counted as personal luggage and are not taxed, allowing for a small mark-up when they are shipped on and sold on across Morocco.  On average, I earn about 70 dirhams ($7.40) per trip, carrying anywhere between 40 to 70 kg,  says Laalaoua.  But most days, we never know how much we will make.  The work is backbreaking and fraught with risk. Some traders have died in stampedes through the tight border crossing.  We say our prayers in the morning and brace for the day, not knowing if we will come out dead or alive,  Laalaoua says.  She lifts undergarments to display bruises on her leg from a Spanish Civil Guard s truncheon. She says she was beaten for attempting to advance towards the front of the queue. No one from the Civil Guard in Melilla was available to comment. When Laalaoua finally gets through the narrowly caged border crossing, she weaves through the crowd to drop off her cargo inside the bustling Beni Ansar market, before rushing back to a Melilla warehouse where she will load up for her last trip of the day.  Locals with an address in the Nador province are allowed to cross through into Melilla without a visa, but cannot spend more than a day in the Spanish enclave. They can cross for five hours a day, four days a week. In total, there are between 30,000-40,000 crossings daily, according to the Spanish border police.  The practice has been going on for decades. Before, it was dominated by single mothers known locally as  mule women , who struggled to make a living elsewhere.  But as unemployment has climbed, the women have increasingly found themselves in competition with young men. Each morning the women report to a boss who tasks them with transporting an assigned quantity of goods, coordinating with warehouse owners and shippers. By 5 a.m. crowds of hundreds swell to thousands, as people wait for Spanish guards to open the border gates. Male traders fight and women shout and scream as the jostle for a place in the crush. Most manage to make two or three crossings before the border shuts again.  The merchandise spans everything from simple household goods such as towels, toilet paper, and soap, to illicit wares including alcohol and plastic bags, which have been banned in Morocco since last year. Laalaoua lives nearly 27 km (17 miles) from the border, waking up at 2 a.m. to prepare for her commute, by foot then taxi or bus.  Her husband Mohammed Zoubah, 57, fell ill six years ago, forcing Laalaoua to become the primary breadwinner.  She s strong, she s protecting this household,  he says. May God bless her with patience.  ",1,0,False,False Positive (Legit predicted as Fake)
"'Mad dog' anti-Trump leaflets, suspected floated in from North Korea, turn up in Seoul SEOUL (Reuters) - Propaganda fliers presumed to be from North Korea and calling U.S. President Donald Trump a  mad dog  have turned up across central Seoul, including near the presidential Blue House, according to posts on social media and people who found them.  Death to old lunatic Trump!  reads one poster, with a North Korean soldier with rifle in hand, crushing what looks to be Trump s head with his tongue dangling out of his mouth. Near the soldier s head is the line:  Complete obliteration.  Another poster shows Trump with the body of a dog being decapitated by an axe. Blood is shown splattered on the axe in the poster, which states:  Let s behead mad dog Trump for the future of a peaceful and warless world and mankind!  Both were in color. It is not difficult to find North Korean propaganda posters in South Korea, usually flown by balloon over the highly fortified demilitarized zone. Military images and anti-U.S. threats are common in North Korea propaganda as Pyongyang demands the United States cease what it says is its preparations for invasion. But the new series of fliers posted recently on Twitter and other social media target Trump specifically. Trump last month, in a speech to the United Nations, threatened to  totally destroy  North Korea if needed to defend itself and allies and called the North s leader Kim Jong Un a  rocket man  on a suicide mission.  I am pretty sure it came from North Korea by balloon, since the prevailing winds during October have been from north to south and we ve been getting reports of others finding them throughout Seoul,  said Chad O Carroll, managing director of NK News, a Seoul-based news subscription service, who found the leaflets while jogging in central Seoul. In an apparent jab at Trump s U.N. speech, one of the propaganda posters featured Trump standing behind a podium with a rocket in his mouth painted with the words  totally destroy North Korea . Again, Trump is depicted as a dog with a human face and labeled as  mad dog Trump . Men in suits with surprised looks on their faces are shown in the poster saying  He s gone completely insane  and  If we let him be, there will be war . Reclusive North Korea, which has carried out a series of nuclear and missile tests in defiance of U.N. sanctions, and the rich, democratic South are technically still at war because their 1950-53 conflict ended in a truce, not a peace treaty. The North regularly threatens to destroy the South and its main ally, the United States. ",1,0,False,False Positive (Legit predicted as Fake)
"Obama's remarks on Orlando shooting: 'We will not give in to fear' WASHINGTON (Reuters) - President Barack Obama on Sunday said Americans would stand united and “not give in to fear or turn against each other” in the wake of a nightclub shooting in Orlando, Florida, that killed 50 people. Following is the full text of remarks, Obama delivered at the White House: Today, as Americans, we grieve the brutal murder - a horrific massacre - of dozens of innocent people. We pray for their families, who are grasping for answers with broken hearts. We stand with the people of Orlando, who have endured a terrible attack on their city. Although it’s still early in the investigation, we know enough to say that this was an act of terror and an act of hate. And as Americans, we are united in grief, in outrage, and in resolve to defend our people. I just finished a meeting with FBI Director Comey and my homeland security and national security advisers. The FBI is on the scene and leading the investigation, in partnership with local law enforcement. I’ve directed that the full resources of the federal government be made available for this investigation. We are still learning all the facts. This is an open investigation. We’ve reached no definitive judgment on the precise motivations of the killer. The FBI is appropriately investigating this as an act of terrorism. And I’ve directed that we must spare no effort to determine what - if any - inspiration or association this killer may have had with terrorist groups. What is clear is that he was a person filled with hatred. Over the coming days, we’ll uncover why and how this happened, and we will go wherever the facts lead us. This morning I spoke with my good friend, Orlando Mayor Buddy Dyer, and I conveyed the condolences of the entire American people. This could have been any one of our communities. So I told Mayor Dyer that whatever help he and the people of Orlando need - they are going to get it. As a country, we will be there for the people of Orlando today, tomorrow and for all the days to come. We also express our profound gratitude to all the police and first responders who rushed into harm’s way. Their courage and professionalism saved lives, and kept the carnage from being even worse. It’s the kind of sacrifice that our law enforcement professionals make every single day for all of us, and we can never thank them enough. This is an especially heartbreaking day for all our friends - our fellow Americans - who are lesbian, gay, bisexual or transgender. The shooter targeted a nightclub where people came together to be with friends, to dance and to sing, and to live. The place where they were attacked is more than a nightclub - it is a place of solidarity and empowerment where people have come together to raise awareness, to speak their minds, and to advocate for their civil rights. So this is a sobering reminder that attacks on any American - regardless of race, ethnicity, religion or sexual orientation - is an attack on all of us and on the fundamental values of equality and dignity that define us as a country. And no act of hate or terror will ever change who we are or the values that make us Americans. Today marks the most deadly shooting in American history. The shooter was apparently armed with a handgun and a powerful assault rifle. This massacre is therefore a further reminder of how easy it is for someone to get their hands on a weapon that lets them shoot people in a school, or in a house of worship, or a movie theater, or in a nightclub. And we have to decide if that’s the kind of country we want to be. And to actively do nothing is a decision as well. In the coming hours and days, we’ll learn about the victims of this tragedy. Their names. Their faces. Who they were. The joy that they brought to families and to friends, and the difference that they made in this world. Say a prayer for them and say a prayer for their families - that God give them the strength to bear the unbearable. And that He give us all the strength to be there for them, and the strength and courage to change. We need to demonstrate that we are defined more - as a country - by the way they lived their lives than by the hate of the man who took them from us. As we go together, we will draw inspiration from heroic and selfless acts - friends who helped friends, took care of each other and saved lives. In the face of hate and violence, we will love one another. We will not give in to fear or turn against each other. Instead, we will stand united, as Americans, to protect our people, and defend our nation, and to take action against those who threaten us. May God bless the Americans we lost this morning. May He comfort their families. May God continue to watch over this country that we love. Thank you. ",1,0,False,False Positive (Legit predicted as Fake)
"Kathy Griffin loses CNN deal after photos with fake severed Trump head LOS ANGELES (Reuters) - CNN fired comedian Kathy Griffin from its annual New Year’s Eve broadcast on Wednesday after she drew strong criticism for posing in photographs holding up the likeness of a bloody, severed head resembling U.S. President Donald Trump. The network announced the termination after earlier criticizing the photos as “disgusting and offensive.” Griffin posted a videotaped apology on Tuesday night amid a public outcry from Republicans and Democrats alike over the images, including condemnation from Trump. “Kathy Griffin should be ashamed of herself,” Trump wrote.     “My children, especially my 11-year-old son, Barron, are having a hard time with this. Sick!” The U.S. Secret Service, responsible for presidential security, has opened an inquiry into the posting of Griffin posing with the severed-head replica, a spokesman in Los Angeles said when asked whether the agency was looking into the incident as a potential threat on the president’s life. “We’re aware of it and we’re investigating it,” the spokesman, George Fernandez, told Reuters. He declined to elaborate. Griffin, 56, a two-time Emmy-winning performer known for her deliberately provocative brand of humor, has appeared since 2007 as co-host of CNN’s New Year’s Eve broadcast from Times Square in New York with anchor Anderson Cooper.  CNN did not make clear whether it was cutting its New Year’s Eve deal with Griffin for just the upcoming 2017 broadcast or for good. The furor also cost Griffin a show at the Route 66 Casino Hotel outside Albuquerque, New Mexico. Management of the Laguna Pueblo tribe-operated establishment decided to cancel a one-night appearance by Griffin scheduled for July 22, a spokesman said. Griffin apologized profusely in a video message posted to her official Twitter account late on Tuesday, saying that as a comic she routinely seeks to “cross the line” but realized in this case, “I went too far.” “The image is too disturbing. I understand how it offends people. It wasn’t funny. I get it,” she said, adding that she was seeking to have the images taken down from social media. “I beg for your forgiveness,” she concluded. “I made a mistake and I was wrong.” Celebrity news website TMZ published a behind-the-scenes video on Tuesday of Griffin posing with the model head for a photo shoot. She was seen reviewing the images with photographer Tyler Shields and jokingly saying, “We have to move to Mexico today because we’re going to go to prison, federal prison.” TMZ posted an image from the shoot on Twitter. “This is vile and wrong,” Chelsea Clinton, daughter of  former President Bill Clinton and former Secretary of State Hillary Clinton, wrote on Twitter. “It is never funny to joke about killing a president.” Trump’s oldest son, Donald Trump Jr., called on sponsors of Griffin to condemn the comedian. At his daily briefing with reporters in Washington, presidential spokesman Sean Spicer declined to answer directly when asked whether it was appropriate for Trump to have hosted a White House visit by rocker Ted Nugent last month despite violent remarks the musician made in 2012 about then-President Barack Obama. Secret Service agents met with Nugent after the performer told a National Rifle Association convention in St. Louis that he would be “dead or in jail” if Obama were re-elected. He also declared, “We need to ride into that battlefield and chop their heads off in November.” The Secret Service later said the matter had been resolved with no further action. “To be honest with you, I’d have to look back and see what those statements were and what the reaction was at the time,” Spicer said when pressed for a comment on Wednesday. Griffin’s firing by CNN drew widely divergent reactions, with one Twitter follower, Anand Elgie, calling her termination “over reaction,” adding: “she had a bad moment of judgment... Trump bring out the worse in us all.” Another, Mark Dice, said CNN should have acted sooner. “The fact that you waited this long proves your network endorses the assassination of our president. You are the enemy of the people!!!” ",1,0,False,False Positive (Legit predicted as Fake)
"The Adoration Of Kim Jong Un PYONGYANG - North Koreans stage a demonstration of devotion to their leader Kim Jong Un at least once a year, in a large ceremonial square in Pyongyang.  Mansae!  the people call as they parade past the 33-year old, who stands on a balcony above them:  Live long!  This December, Kim will mark six years in power. In that time he has purged or executed around 340 people, according to the Institute for National Security Strategy, a think tank of South Korea s National Intelligence Service (NIS). The people on parade carry flowers including North Korea s national blooms, Kimilsungia and Kimjongilia, which were specially created in honor of Kim s grandfather and father, Kim Il Sung and Kim Jong Il. North Korea is the only socialist country to have passed power down the family line. Images of former presidents are pinned on the left side of every jacket and dress. They are worn there to be close to the wearers  hearts. In private conversations, some North Koreans quietly lament the shortcomings of their system: It s too bureaucratic, takes too long to get things done, is disorganized, they say. But few dare to openly criticize the Supreme Leader. North Korea s GDP per capita, estimated at $1,700 in the CIA Factbook, places it 215th in the world   it is poorer than Haiti, Zimbabwe and Afghanistan. Defectors say many North Koreans lead double lives, earning money in unofficial market places to supplement state incomes. The leadership turns a blind eye to this. Traditionally, Pyongyang has been the home of North Korea s elites. But the inhabitants of the capital must also prepare for the parades. Around this time, everyone everywhere must increase production in a process known as a  battle.  People, organized into work units, are assigned duties on top of their usual jobs. The  70-day battle  ahead of a Party congress in 2016 meant long after-work hours sprucing up the capital. State media released a report: Some work units had delivered 110 percent of their quotas. The fatigue shows in some flower-wavers  faces.  On June 1, 2016, the country announced that a new campaign of celebration was to be held. This time, it said, the battle would last 200 days.  ",1,0,False,False Positive (Legit predicted as Fake)
"Graphic account of Hulk Hogan sex tape read in Florida court ST. PETERSBURG, Fla. (Reuters) - Gawker founder Nick Denton read out a graphic account of the acts shown in a sex tape featuring wrestling celebrity Hulk Hogan in a Florida courtroom on Tuesday, saying his company’s 2012 online publication “stands up to the test of time.” Gawker was sued for $100 million by Hogan, who says the release violated his privacy. The New York-based media company could be forced out of business by an unfavorable verdict in a civil trial testing the limits of freedom of the press. Hogan’s attorneys asked Denton, a high-profile figure in the world of Web publishing, to read aloud a very explicit article accompanying the video, which he did in an even tone. The lawsuit centers on the one-minute, 41-seconds of video that Gawker excerpted from the sex tape of unknown origin. It  has not yet been shown to the jury in St. Petersburg, Florida, near Hogan’s home. The clip shows Hogan’s tryst with the wife of his then-best friend, radio “shock jock” personality Bubba the Love Sponge. Hogan says their consensual encounter was recorded without his knowledge five years before Gawker’s posting.  Denton said he had not watched the video, nor read the article before publication. He described his role as broadly overseeing the portfolio of websites under Gawker media. Still, he stood by the piece as in keeping with Gawker’s mission to produce “true and interesting” journalism. “The piece had value. It was true. It was a story honestly told and it was interesting to millions of people,” Denton said. The Hogan sex tape piece was one of more than 10,000 posts in 2012 on the Gawker website, a former company executive testified later on Tuesday. The video alone was viewed 2.5 million times, with 57 percent watching the entire clip. Denton’s testimony, spread out over two days, highlighted his approach to websites run by the Gawker company, which include technology-oriented Gizmodo and women-focused Jezebel. Pressed on his views on privacy rights during cross-examination, Denton said celebrities have “a smaller zone.” Jurors had questions for Denton, too. One of them asked if the sex in the video would be protected speech under the First Amendment of the U.S. Constitution if it was gratuitous. “No,” he replied. He had previously said that he did not think the sexual content overreached. Hogan’s attorney, David Houston, issued a statement suggesting the jury question “perhaps sets the tone for deliberations.” ",1,0,False,False Positive (Legit predicted as Fake)
"Mother's fight to discover fate of dead baby's body finds empty coffin EDINBURGH (Reuters) - A mother who has been fighting for four decades to find out what happened to her dead baby boy has discovered that his coffin has no human remains in it. Lydia Reid s son Gary was seven days old when he died at Edinburgh s Hospital for Sick Children in 1975, she told the BBC. Reid was a leading campaigner to expose how Scottish hospitals unlawfully retained dead children s body parts for research following a public enquiry into practices at Alder Hey Hospital in Liverpool, England in the 1990s, the BBC said.   Lydia Reid wants answers from people ... somebody coming forward to explain to her what has happened to her son s body,  David Short, a lawyer acting on her behalf, told the BBC on Monday. Reid has suspected for years that her son s organs were taken without permission, and thought the coffin was empty on the day of the funeral because it weighed so little. But she has had no proof of what happened to his remains until now, following a court order for an exhumation at Saughton Cemetery in Edinburgh.  I wanted to be wrong. I wanted to be called a stupid old woman but the minute (the forensic scientist) lifted the shawl out of the ground I knew there was nothing in it. Nothing,  she said.   My heart hit my feet and I didn t know what to say.  Reid has appealed to the Scottish health authorities and the funeral company to help her find out what happened.  They know what happened to my son, they know fine and well that they have that knowledge and they can give me peace.  Even if he s been incinerated I want to know. Even if he s lying in a jar in a hospital somewhere I want to know. If it s possible to get my son back, I want my son back. And if it s not, then at least tell me, and let me have peace.  Reid, now 68, said that after her son died and she asked to see him again she was shown a child that was not hers.  This baby was blond and big, my baby was tiny and dark-haired. This was not my son,  she said.  I objected but they said I was suffering from post-natal depression.  Jim Crombie, Deputy Chief Executive at NHS Lothian, said:  Our condolences are with the family of Gary Paton. This matter is now being looked into by the police and we are unable to comment further.  ",1,0,False,False Positive (Legit predicted as Fake)
"Elections get dirty as adult filmmakers set up political action committee SACRAMENTO, Calif. (Reuters) - California politics got a bit more racy on Wednesday, as producers and actors in the adult film business said they had formed a political action committee, or PAC, to fight a ballot initiative to require the use of condoms when shooting explicit sex scenes. The move by an industry association representing California’s busy pornographers - a $4 billion industry in California whose loss could cost the state tens of millions in tax revenues and up to 20,000 jobs - is the latest chapter in a years-long skirmish with public health advocates over how best to prevent sexually transmitted disease among performers of pornography. Los Angeles, and especially the San Fernando Valley area, has historically been a hub of porn production. A number of high-profile X-rated performers in the area have suffered HIV infections, shaking the industry and local health officials. Nearly a dozen performers were infected with the HIV virus between 2004 and 2014, according to the AIDS Healthcare Foundation, which is backing the ballot initiative. The group’s measure, which will appear on the November ballot, would require the use of condoms and lubricants on adult film sets. It requires producers to provide the condoms and to offer free vaccinations and tests for sexually transmitted diseases to all performers. The measure also would allow performers or other individuals residing in California to ask for a state investigation into whether a particular adult film or video was made using condoms. If the state declines to investigate, that person can sue. Porn producers have focused on that section, saying it would lead to the harassment of actors. “It opens up the door to extortion and harassment of a predominantly female performer base and small business owners by those outside the industry,” said Mike Stabile, a spokesman for the Free Speech Coalition, the porn industry association. The new PAC, dubbed Californians Against Worker Harassment, is just beginning to raise funds, Stabile said. State records show that no contributions have yet been reported for its cause. The AIDS Healthcare Foundation, which is backing the initiative, has already contributed $1.5 million to promote it to the public, state records show. Los Angeles County passed a local ballot initiative also backed by AIDS Healthcare Foundation requiring condom use on porn shoots in 2012. But even though it has proven difficult to enforce, Stabile said the measure has led producers of sexually-explicit movies to film elsewhere. ",1,0,False,False Positive (Legit predicted as Fake)
"ASPIRATIONS: Young Chinese seize the day, seize the hour (Reuters) - The world is this generation s oyster.  China s  Class of 2012  is mostly ambitious and pragmatic. What do they want out of life?  For some, it's a husband. For others, an apartment in a city. Still others are happy with a stable job, or travel and new experiences.  Wang Siyue, a product specialist at an internet education company:   To be honest, how can I imagine what will happen in the next five years? You can make some plans but the world is unpredictable ... There s a very good saying: the luck of man is in balance. It s balanced. If you have good luck in the beginning, you ll have less luck later on. I believe in fate.   Hu Ruixin, a computer technician, talked about his dreams when he was in university:   I had a 15-year-plan for myself. For the first five years, I d open an advertising studio. In the next five years, I d let the studio develop into a company. With five more years, I d grow the company. But when I finally graduated from university and went into the world, I found this was hard to realize. There are too many restrictions and it s difficult, so I gave up.    The most important thing in life is responsibility. I ve got a child now and since becoming a parent feel that responsibility is really important.   Zhang Weixuan, an assistant secretary at a software company, who recently managed to get Beijing residency - a coveted  hukou :   My China Dream is simple. I hope to establish myself in a big city. Last year I got my Beijing  hukou , I successfully got it, and now I want to get married here and start my own family.    In my work field I hope to do well and in two years  time, or even now, buy a small apartment. Then I can establish myself. I think that d be pretty good.   Qi Jing, a township leader for the Communist Party Youth League, who grew up in Wuhan:   I think now my dilemma is when you reach a certain age you have less and less opportunities. Especially as a woman, your choices at work, your choices between work and family, you have to face them. Then you ll give up a lot of things. Maybe there s something you wanted to do when you were young and thought  why not give it a shot?  But what I feel now is I should slowly give them up, and focus on stability.   ",1,0,False,False Positive (Legit predicted as Fake)
